n,hash,digest_bits,field_extension,queries,blowup,grinding,fri_folding,fri_remainder_degree,run_index,native_time_s,prover_time_s,verify_time_ms,proof_size_bytes,conjectured_security_bits,binding_term,threads
65536,blake3_256,256,none,32,8,16,8,31,1,4.505481,20.892754,2.2333,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,2,4.505481,33.072739,1.8267,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,3,4.505481,33.185907,2.3054,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,4,4.505481,33.085159,2.1621,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,5,4.505481,33.138223,2.1021,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,6,4.505481,29.333930,2.5442,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,7,4.505481,36.707477,2.0780,101713,111,fri,1
65536,sha3_256,256,none,32,8,16,8,31,1,5.929486,51.078434,5.1207,102452,111,fri,1
65536,sha3_256,256,none,32,8,16,8,31,2,5.929486,52.653815,2.6788,102452,111,fri,1
65536,sha3_256,256,none,32,8,16,8,31,3,5.929486,52.578911,3.7061,102452,111,fri,1
65536,sha3_256,256,none,32,8,16,8,31,4,5.929486,50.532081,3.3584,102452,111,fri,1
65536,sha3_256,256,none,32,8,16,8,31,5,5.929486,51.094353,4.7163,102452,111,fri,1
65536,sha3_256,256,none,32,8,16,8,31,6,5.929486,50.081861,4.9742,102452,111,fri,1
65536,sha3_256,256,none,32,8,16,8,31,7,5.929486,49.915525,3.1730,102452,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,1,5.496938,29.681270,2.1230,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,2,5.496938,34.189255,1.8446,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,3,5.496938,35.698177,2.0750,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,4,5.496938,37.535151,2.6124,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,5,5.496938,35.367810,1.7805,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,6,5.496938,33.928084,1.5885,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,7,5.496938,34.086197,2.2233,101713,111,fri,1
65536,blake3_192,192,none,32,8,16,8,31,1,5.536542,34.008713,1.6689,82305,96,hash,1
65536,blake3_192,192,none,32,8,16,8,31,2,5.536542,40.820539,2.5535,82305,96,hash,1
65536,blake3_192,192,none,32,8,16,8,31,3,5.536542,35.530689,2.0318,82305,96,hash,1
65536,blake3_192,192,none,32,8,16,8,31,4,5.536542,34.064887,1.9063,82305,96,hash,1
65536,blake3_192,192,none,32,8,16,8,31,5,5.536542,33.884450,1.8804,82305,96,hash,1
65536,blake3_192,192,none,32,8,16,8,31,6,5.536542,31.558711,1.6431,82305,96,hash,1
65536,blake3_192,192,none,32,8,16,8,31,7,5.536542,34.357513,1.8234,82305,96,hash,1
65536,blake3_256,256,none,16,8,16,8,31,1,5.507267,34.005367,1.2140,55621,47,fri,1
65536,blake3_256,256,none,16,8,16,8,31,2,5.507267,33.986310,1.2529,55621,47,fri,1
65536,blake3_256,256,none,16,8,16,8,31,3,5.507267,34.975780,0.9436,55621,47,fri,1
65536,blake3_256,256,none,16,8,16,8,31,4,5.507267,34.050794,1.0085,55621,47,fri,1
65536,blake3_256,256,none,16,8,16,8,31,5,5.507267,34.098108,1.2218,55621,47,fri,1
65536,blake3_256,256,none,16,8,16,8,31,6,5.507267,33.683446,1.3185,55621,47,fri,1
65536,blake3_256,256,none,16,8,16,8,31,7,5.507267,33.754901,1.2384,55621,47,fri,1
65536,blake3_256,256,none,24,8,16,8,31,1,5.576819,33.781359,1.3250,79676,71,fri,1
65536,blake3_256,256,none,24,8,16,8,31,2,5.576819,33.772629,1.4401,79676,71,fri,1
65536,blake3_256,256,none,24,8,16,8,31,3,5.576819,33.597593,1.3393,79676,71,fri,1
65536,blake3_256,256,none,24,8,16,8,31,4,5.576819,33.856361,1.2741,79676,71,fri,1
65536,blake3_256,256,none,24,8,16,8,31,5,5.576819,33.660191,1.3087,79676,71,fri,1
65536,blake3_256,256,none,24,8,16,8,31,6,5.576819,34.713287,1.3240,79676,71,fri,1
65536,blake3_256,256,none,24,8,16,8,31,7,5.576819,33.965676,1.2130,79676,71,fri,1
65536,blake3_256,256,none,32,8,16,8,31,1,5.497913,33.603789,1.7943,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,2,5.497913,33.745921,1.8848,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,3,5.497913,33.745401,2.3855,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,4,5.497913,33.680491,3.2800,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,5,5.497913,34.004446,2.3655,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,6,5.497913,33.953939,2.0575,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,7,5.497913,33.675411,1.7839,101713,111,fri,1
65536,blake3_256,256,none,48,8,16,8,31,1,5.451798,33.544766,2.6112,145659,127,hash,1
65536,blake3_256,256,none,48,8,16,8,31,2,5.451798,33.679528,3.3314,145659,127,hash,1
65536,blake3_256,256,none,48,8,16,8,31,3,5.451798,34.465763,2.5186,145659,127,hash,1
65536,blake3_256,256,none,48,8,16,8,31,4,5.451798,35.230439,2.4893,145659,127,hash,1
65536,blake3_256,256,none,48,8,16,8,31,5,5.451798,75.866907,3.3288,145659,127,hash,1
65536,blake3_256,256,none,48,8,16,8,31,6,5.451798,34.352738,2.2892,145659,127,hash,1
65536,blake3_256,256,none,48,8,16,8,31,7,5.451798,36.003964,3.0426,145659,127,hash,1
65536,blake3_256,256,none,64,8,16,8,31,1,5.765428,33.943513,5.5115,187909,127,hash,1
65536,blake3_256,256,none,64,8,16,8,31,2,5.765428,34.461384,3.0060,187909,127,hash,1
65536,blake3_256,256,none,64,8,16,8,31,3,5.765428,33.684942,3.1936,187909,127,hash,1
65536,blake3_256,256,none,64,8,16,8,31,4,5.765428,33.466548,4.1967,187909,127,hash,1
65536,blake3_256,256,none,64,8,16,8,31,5,5.765428,33.435456,3.0856,187909,127,hash,1
65536,blake3_256,256,none,64,8,16,8,31,6,5.765428,33.799630,3.6256,187909,127,hash,1
65536,blake3_256,256,none,64,8,16,8,31,7,5.765428,33.562600,3.3101,187909,127,hash,1
65536,blake3_256,256,none,32,8,0,8,31,1,5.505147,33.964438,2.2812,101267,95,fri,1
65536,blake3_256,256,none,32,8,0,8,31,2,5.505147,33.491914,2.3543,101267,95,fri,1
65536,blake3_256,256,none,32,8,0,8,31,3,5.505147,33.404435,2.2799,101267,95,fri,1
65536,blake3_256,256,none,32,8,0,8,31,4,5.505147,33.473413,1.8628,101267,95,fri,1
65536,blake3_256,256,none,32,8,0,8,31,5,5.505147,33.477406,2.1827,101267,95,fri,1
65536,blake3_256,256,none,32,8,0,8,31,6,5.505147,33.423958,1.7746,101267,95,fri,1
65536,blake3_256,256,none,32,8,0,8,31,7,5.505147,33.565365,2.2005,101267,95,fri,1
65536,blake3_256,256,none,32,8,8,8,31,1,5.471044,33.666966,1.7283,102485,103,fri,1
65536,blake3_256,256,none,32,8,8,8,31,2,5.471044,33.620572,1.7582,102485,103,fri,1
65536,blake3_256,256,none,32,8,8,8,31,3,5.471044,33.395423,2.2725,102485,103,fri,1
65536,blake3_256,256,none,32,8,8,8,31,4,5.471044,33.514594,1.8330,102485,103,fri,1
65536,blake3_256,256,none,32,8,8,8,31,5,5.471044,33.398072,1.7527,102485,103,fri,1
65536,blake3_256,256,none,32,8,8,8,31,6,5.471044,36.502536,1.7839,102485,103,fri,1
65536,blake3_256,256,none,32,8,8,8,31,7,5.471044,33.798003,1.7288,102485,103,fri,1
65536,blake3_256,256,none,32,8,16,8,31,1,5.502322,33.836961,1.7637,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,2,5.502322,33.914364,1.6907,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,3,5.502322,33.391305,2.3959,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,4,5.502322,34.548475,1.6620,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,5,5.502322,33.198961,1.6505,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,6,5.502322,33.265030,1.8325,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,7,5.502322,33.148007,2.2280,101713,111,fri,1
65536,blake3_256,256,none,32,8,24,8,31,1,5.275742,33.311667,1.6426,102354,119,fri,1
65536,blake3_256,256,none,32,8,24,8,31,2,5.275742,33.400118,2.2488,102354,119,fri,1
65536,blake3_256,256,none,32,8,24,8,31,3,5.275742,34.323423,2.2176,102354,119,fri,1
65536,blake3_256,256,none,32,8,24,8,31,4,5.275742,33.456684,1.6119,102354,119,fri,1
65536,blake3_256,256,none,32,8,24,8,31,5,5.275742,33.654395,2.1101,102354,119,fri,1
65536,blake3_256,256,none,32,8,24,8,31,6,5.275742,33.499787,2.3047,102354,119,fri,1
65536,blake3_256,256,none,32,8,24,8,31,7,5.275742,33.344679,2.1838,102354,119,fri,1
65536,blake3_256,256,none,32,8,32,8,31,1,5.266089,193.730969,1.7738,102836,127,hash,1
65536,blake3_256,256,none,32,8,32,8,31,2,5.266089,167.609422,1.0425,102836,127,hash,1
65536,blake3_256,256,none,32,8,32,8,31,3,5.266089,193.456650,1.7051,102836,127,hash,1
65536,blake3_256,256,none,32,8,32,8,31,4,5.266089,194.411120,1.7834,102836,127,hash,1
65536,blake3_256,256,none,32,8,32,8,31,5,5.266089,193.723367,2.2881,102836,127,hash,1
65536,blake3_256,256,none,32,8,32,8,31,6,5.266089,193.605208,2.1244,102836,127,hash,1
65536,blake3_256,256,none,32,8,32,8,31,7,5.266089,194.054897,2.3024,102836,127,hash,1
65536,blake3_256,256,none,32,4,16,8,31,1,5.259566,20.025171,1.6801,93486,63,fri,1
65536,blake3_256,256,none,32,4,16,8,31,2,5.259566,19.896953,1.5966,93486,63,fri,1
65536,blake3_256,256,none,32,4,16,8,31,3,5.259566,20.555946,2.1539,93486,63,fri,1
65536,blake3_256,256,none,32,4,16,8,31,4,5.259566,19.878167,2.1111,93486,63,fri,1
65536,blake3_256,256,none,32,4,16,8,31,5,5.259566,21.351808,2.4039,93486,63,fri,1
65536,blake3_256,256,none,32,4,16,8,31,6,5.259566,22.404880,2.6866,93486,63,fri,1
65536,blake3_256,256,none,32,4,16,8,31,7,5.259566,21.994861,2.4961,93486,63,fri,1
65536,blake3_256,256,none,32,8,16,8,31,1,5.685321,33.786061,1.7848,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,2,5.685321,34.095984,2.2649,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,3,5.685321,33.892888,1.9325,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,4,5.685321,33.817969,1.6544,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,5,5.685321,36.113572,1.9183,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,6,5.685321,33.858875,2.1373,101713,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,7,5.685321,33.712723,1.6745,101713,111,fri,1
65536,blake3_256,256,none,32,16,16,8,31,1,5.522320,62.453291,2.4526,109459,127,hash,1
65536,blake3_256,256,none,32,16,16,8,31,2,5.522320,61.618602,1.1814,109459,127,hash,1
65536,blake3_256,256,none,32,16,16,8,31,3,5.522320,60.951959,2.2011,109459,127,hash,1
65536,blake3_256,256,none,32,16,16,8,31,4,5.522320,62.140507,1.8268,109459,127,hash,1
65536,blake3_256,256,none,32,16,16,8,31,5,5.522320,61.056559,2.3474,109459,127,hash,1
65536,blake3_256,256,none,32,16,16,8,31,6,5.522320,62.246851,2.6909,109459,127,hash,1
65536,blake3_256,256,none,32,16,16,8,31,7,5.522320,61.543927,1.7174,109459,127,hash,1
65536,blake3_256,256,quadratic,32,8,16,8,31,1,5.634315,39.831133,3.2180,124817,111,fri,1
65536,blake3_256,256,quadratic,32,8,16,8,31,2,5.634315,35.582018,2.8340,124817,111,fri,1
65536,blake3_256,256,quadratic,32,8,16,8,31,3,5.634315,39.436644,3.2116,124817,111,fri,1
