sweep,workload,n,commit_hash,lambda_bits,num_queries,blowup_factor,grinding_factor,field_extension,fri_folding_factor,threads,machine,run_index,t_native_ms,t_prove_ms,t_verify_ms,proof_bytes,security_bits
S2,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,4505.481000,20892.754200,2.233300,101713,111
S2,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,4505.481000,33072.738700,1.826700,101713,111
S2,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,4505.481000,33185.907300,2.305400,101713,111
S2,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,4505.481000,33085.158600,2.162100,101713,111
S2,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,4505.481000,33138.223100,2.102100,101713,111
S2,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,4505.481000,29333.930000,2.544200,101713,111
S2,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,4505.481000,36707.477400,2.078000,101713,111
S2,rescue_chain,65536,sha3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5929.485700,51078.433900,5.120700,102452,111
S2,rescue_chain,65536,sha3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5929.485700,52653.815000,2.678800,102452,111
S2,rescue_chain,65536,sha3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5929.485700,52578.911400,3.706100,102452,111
S2,rescue_chain,65536,sha3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5929.485700,50532.080700,3.358400,102452,111
S2,rescue_chain,65536,sha3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,5929.485700,51094.352500,4.716300,102452,111
S2,rescue_chain,65536,sha3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,5929.485700,50081.861200,4.974200,102452,111
S2,rescue_chain,65536,sha3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,5929.485700,49915.525100,3.173000,102452,111
S3,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5496.937800,29681.269700,2.123000,101713,111
S3,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5496.937800,34189.255000,1.844600,101713,111
S3,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5496.937800,35698.177300,2.075000,101713,111
S3,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5496.937800,37535.151000,2.612400,101713,111
S3,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,5496.937800,35367.810000,1.780500,101713,111
S3,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,5496.937800,33928.084100,1.588500,101713,111
S3,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,5496.937800,34086.197100,2.223300,101713,111
S3,rescue_chain,65536,blake3_192,192,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5536.541800,34008.713200,1.668900,82305,96
S3,rescue_chain,65536,blake3_192,192,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5536.541800,40820.539400,2.553500,82305,96
S3,rescue_chain,65536,blake3_192,192,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5536.541800,35530.689400,2.031800,82305,96
S3,rescue_chain,65536,blake3_192,192,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5536.541800,34064.886600,1.906300,82305,96
S3,rescue_chain,65536,blake3_192,192,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,5536.541800,33884.449500,1.880400,82305,96
S3,rescue_chain,65536,blake3_192,192,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,5536.541800,31558.711400,1.643100,82305,96
S3,rescue_chain,65536,blake3_192,192,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,5536.541800,34357.512600,1.823400,82305,96
S4,rescue_chain,65536,blake3_256,256,16,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5507.266500,34005.367000,1.214000,55621,47
S4,rescue_chain,65536,blake3_256,256,16,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5507.266500,33986.309500,1.252900,55621,47
S4,rescue_chain,65536,blake3_256,256,16,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5507.266500,34975.780300,0.943600,55621,47
S4,rescue_chain,65536,blake3_256,256,16,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5507.266500,34050.794000,1.008500,55621,47
S4,rescue_chain,65536,blake3_256,256,16,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,5507.266500,34098.108000,1.221800,55621,47
S4,rescue_chain,65536,blake3_256,256,16,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,5507.266500,33683.445900,1.318500,55621,47
S4,rescue_chain,65536,blake3_256,256,16,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,5507.266500,33754.900700,1.238400,55621,47
S4,rescue_chain,65536,blake3_256,256,24,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5576.818700,33781.358700,1.325000,79676,71
S4,rescue_chain,65536,blake3_256,256,24,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5576.818700,33772.628500,1.440100,79676,71
S4,rescue_chain,65536,blake3_256,256,24,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5576.818700,33597.593400,1.339300,79676,71
S4,rescue_chain,65536,blake3_256,256,24,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5576.818700,33856.360900,1.274100,79676,71
S4,rescue_chain,65536,blake3_256,256,24,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,5576.818700,33660.190900,1.308700,79676,71
S4,rescue_chain,65536,blake3_256,256,24,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,5576.818700,34713.287100,1.324000,79676,71
S4,rescue_chain,65536,blake3_256,256,24,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,5576.818700,33965.675900,1.213000,79676,71
S4,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5497.913400,33603.788800,1.794300,101713,111
S4,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5497.913400,33745.920600,1.884800,101713,111
S4,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5497.913400,33745.401000,2.385500,101713,111
S4,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5497.913400,33680.490800,3.280000,101713,111
S4,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,5497.913400,34004.446200,2.365500,101713,111
S4,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,5497.913400,33953.938900,2.057500,101713,111
S4,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,5497.913400,33675.410600,1.783900,101713,111
S4,rescue_chain,65536,blake3_256,256,48,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5451.798400,33544.765600,2.611200,145659,127
S4,rescue_chain,65536,blake3_256,256,48,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5451.798400,33679.528400,3.331400,145659,127
S4,rescue_chain,65536,blake3_256,256,48,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5451.798400,34465.762800,2.518600,145659,127
S4,rescue_chain,65536,blake3_256,256,48,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5451.798400,35230.439200,2.489300,145659,127
S4,rescue_chain,65536,blake3_256,256,48,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,5451.798400,75866.906900,3.328800,145659,127
S4,rescue_chain,65536,blake3_256,256,48,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,5451.798400,34352.738200,2.289200,145659,127
S4,rescue_chain,65536,blake3_256,256,48,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,5451.798400,36003.964100,3.042600,145659,127
S4,rescue_chain,65536,blake3_256,256,64,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5765.427600,33943.512500,5.511500,187909,127
S4,rescue_chain,65536,blake3_256,256,64,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5765.427600,34461.384100,3.006000,187909,127
S4,rescue_chain,65536,blake3_256,256,64,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5765.427600,33684.942200,3.193600,187909,127
S4,rescue_chain,65536,blake3_256,256,64,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5765.427600,33466.547500,4.196700,187909,127
S4,rescue_chain,65536,blake3_256,256,64,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,5765.427600,33435.456000,3.085600,187909,127
S4,rescue_chain,65536,blake3_256,256,64,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,5765.427600,33799.630300,3.625600,187909,127
S4,rescue_chain,65536,blake3_256,256,64,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,5765.427600,33562.599600,3.310100,187909,127
S5,rescue_chain,65536,blake3_256,256,32,8,0,none,8,1,laptop_ryzen7_7840u_32gb,1,5505.146700,33964.438300,2.281200,101267,95
S5,rescue_chain,65536,blake3_256,256,32,8,0,none,8,1,laptop_ryzen7_7840u_32gb,2,5505.146700,33491.913500,2.354300,101267,95
S5,rescue_chain,65536,blake3_256,256,32,8,0,none,8,1,laptop_ryzen7_7840u_32gb,3,5505.146700,33404.434800,2.279900,101267,95
S5,rescue_chain,65536,blake3_256,256,32,8,0,none,8,1,laptop_ryzen7_7840u_32gb,4,5505.146700,33473.413200,1.862800,101267,95
S5,rescue_chain,65536,blake3_256,256,32,8,0,none,8,1,laptop_ryzen7_7840u_32gb,5,5505.146700,33477.406400,2.182700,101267,95
S5,rescue_chain,65536,blake3_256,256,32,8,0,none,8,1,laptop_ryzen7_7840u_32gb,6,5505.146700,33423.958000,1.774600,101267,95
S5,rescue_chain,65536,blake3_256,256,32,8,0,none,8,1,laptop_ryzen7_7840u_32gb,7,5505.146700,33565.364800,2.200500,101267,95
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,1,5471.043700,33666.966200,1.728300,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,2,5471.043700,33620.572100,1.758200,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,3,5471.043700,33395.422700,2.272500,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,4,5471.043700,33514.593900,1.833000,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,5,5471.043700,33398.072400,1.752700,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,6,5471.043700,36502.535500,1.783900,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,7,5471.043700,33798.003400,1.728800,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5502.322200,33836.960500,1.763700,101713,111
S5,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5502.322200,33914.363800,1.690700,101713,111
S5,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5502.322200,33391.304700,2.395900,101713,111
S5,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5502.322200,34548.474500,1.662000,101713,111
