sweep,n,commit_hash,lambda_bits,num_queries,blowup_factor,grinding_factor,field_extension,fri_folding_factor,threads,reps,native_ms,prove_med_ms,prove_min_ms,prove_max_ms,verify_med_ms,proof_bytes,security_bits
S2,65536,blake3_256,256,32,8,16,none,8,1,7,4505.481000,33085.158600,20892.754200,36707.477400,2.162100,101713,111
S2,65536,sha3_256,256,32,8,16,none,8,1,7,5929.485700,51078.433900,49915.525100,52653.815000,3.706100,102452,111
S3,65536,blake3_256,256,32,8,16,none,8,1,7,5496.937800,34189.255000,29681.269700,37535.151000,2.075000,101713,111
S3,65536,blake3_192,192,32,8,16,none,8,1,7,5536.541800,34064.886600,31558.711400,40820.539400,1.880400,82305,96
S4,65536,blake3_256,256,16,8,16,none,8,1,7,5507.266500,34005.367000,33683.445900,34975.780300,1.221800,55621,47
S4,65536,blake3_256,256,24,8,16,none,8,1,7,5576.818700,33781.358700,33597.593400,34713.287100,1.324000,79676,71
S4,65536,blake3_256,256,32,8,16,none,8,1,7,5497.913400,33745.401000,33603.788800,34004.446200,2.057500,101713,111
S4,65536,blake3_256,256,48,8,16,none,8,1,7,5451.798400,34465.762800,33544.765600,75866.906900,2.611200,145659,127
S4,65536,blake3_256,256,64,8,16,none,8,1,7,5765.427600,33684.942200,33435.456000,34461.384100,3.310100,187909,127
S5,65536,blake3_256,256,32,8,0,none,8,1,7,5505.146700,33477.406400,33404.434800,33964.438300,2.200500,101267,95
S5,65536,blake3_256,256,32,8,8,none,8,1,7,5471.043700,33620.572100,33395.422700,36502.535500,1.758200,102485,103
S5,65536,blake3_256,256,32,8,16,none,8,1,7,5502.322200,33391.304700,33148.007300,34548.474500,1.763700,101713,111
S5,65536,blake3_256,256,32,8,24,none,8,1,7,5275.741800,33456.684400,33311.666600,34323.423100,2.183800,102354,119
S5,65536,blake3_256,256,32,8,32,none,8,1,7,5266.088500,193723.366900,167609.422200,194411.120300,1.783400,102836,127
S6,65536,blake3_256,256,32,4,16,none,8,1,7,5259.565700,20555.945600,19878.167400,22404.880300,2.153900,93486,63
S6,65536,blake3_256,256,32,8,16,none,8,1,7,5685.321100,33858.875000,33712.723200,36113.571900,1.918300,101713,111
S6,65536,blake3_256,256,32,16,16,none,8,1,7,5522.319900,61618.601900,60951.958800,62453.291300,2.201100,109459,127
S6,65536,blake3_256,256,32,8,16,quad,8,1,7,5634.314600,39149.294300,35582.018200,39831.133000,3.218000,124817,111
MT,65536,blake3_256,256,32,8,16,none,8,16,7,5484.978300,4813.027000,4746.589300,5029.006800,1.624600,101936,111
S1,1024,blake3_256,256,32,8,16,none,8,1,7,69.300700,277.603700,266.194800,286.628400,0.609700,55867,111
S1,4096,blake3_256,256,32,8,16,none,8,1,7,289.505100,1922.375800,1420.926600,2268.735200,1.305200,70464,111
S1,16384,blake3_256,256,32,8,16,none,8,1,7,1100.171200,7769.845000,7739.542000,7815.923900,1.509300,85540,111
S1,65536,blake3_256,256,32,8,16,none,8,1,7,5480.937200,33617.107300,33583.513700,35694.070500,1.729200,101713,111
S1,262144,blake3_256,256,32,8,16,none,8,1,7,30674.830300,146158.733700,139597.839300,149833.713800,2.006000,121686,111
S1,1048576,blake3_256,256,32,8,16,none,8,1,7,125746.776000,740648.910600,722835.878800,2696473.426500,5.850000,141435,111
